縣市,起火原因,死亡人數,受傷人數
高雄市,其他,0,0
臺中市,其他,0,0
南投縣,其他,0,0
臺南市,遺留火種,0,0
臺中市,燃放爆竹,0,0
臺北市,燃放爆竹,0,0
花蓮縣,燃放爆竹,0,0
新北市,爐火烹調,0,0
新竹市,其他,0,0
新北市,其他,0,0
臺中市,爐火烹調,0,0
臺北市,電氣因素,0,0
桃園市,其他,0,0
屏東縣,燃放爆竹,0,0
高雄市,菸蒂,0,0
彰化縣,其他,0,0
南投縣,燈燭,0,0
臺北市,爐火烹調,0,0
新北市,遺留火種,0,0
桃園市,爐火烹調,0,0
臺中市,菸蒂,0,0
臺南市,電氣因素,0,0
高雄市,電氣因素,0,0
基隆市,玩火,0,0
高雄市,爐火烹調,0,0
臺東縣,其他,0,0
屏東縣,其他,0,0
臺中市,瓦斯漏氣或爆炸,0,0
雲林縣,電氣因素,0,0
新北市,電氣因素,0,0
新竹市,遺留火種,0,0
屏東縣,菸蒂,0,0
雲林縣,其他,0,0
苗栗縣,其他,0,0
臺南市,爐火烹調,0,0
雲林縣,遺留火種,0,0
嘉義縣,其他,0,0
雲林縣,自殺,1,0
臺中市,施工不慎,0,0
嘉義縣,遺留火種,0,0
花蓮縣,其他,0,0
臺北市,施工不慎,0,0
新北市,爐火烹調,0,1
南投縣,菸蒂,0,0
桃園市,菸蒂,0,0
新北市,遺留火種,0,1
新北市,電氣因素,1,1
新北市,機械設備,0,0
屏東縣,爐火烹調,0,0
新北市,交通事故,0,0
嘉義市,其他,0,0
臺中市,遺留火種,0,0
屏東縣,菸蒂,0,1
屏東縣,電氣因素,0,0
高雄市,遺留火種,0,0
新竹市,爐火烹調,0,0
彰化縣,機械設備,0,0
臺南市,其他,0,0
新北市,菸蒂,1,0
彰化縣,施工不慎,0,4
桃園市,電氣因素,0,0
臺北市,遺留火種,0,0
臺北市,敬神掃墓祭祖,0,0
花蓮縣,電氣因素,0,0
澎湖縣,爐火烹調,0,0
臺南市,玩火,0,0
臺北市,機械設備,0,0
嘉義市,施工不慎,0,0
臺南市,遺留火種,0,1
嘉義縣,電氣因素,0,0
新北市,機械設備,0,1
嘉義縣,縱火,0,0
彰化縣,菸蒂,0,0
臺中市,電氣因素,0,1
臺中市,電氣因素,0,0
嘉義縣,機械設備,0,0
宜蘭縣,電氣因素,1,4
屏東縣,燈燭,0,0
臺北市,瓦斯漏氣或爆炸,0,0
臺北市,菸蒂,0,0
臺北市,其他,0,0
雲林縣,菸蒂,0,0
桃園市,遺留火種,0,0
嘉義縣,爐火烹調,0,0
宜蘭縣,玩火,0,2
彰化縣,電氣因素,0,0
新北市,電氣因素,0,1
基隆市,爐火烹調,0,0
桃園市,施工不慎,0,0
雲林縣,敬神掃墓祭祖,0,0
臺北市,縱火,0,0
彰化縣,其他,0,1
南投縣,爐火烹調,0,0
新竹縣,菸蒂,0,0
雲林縣,爐火烹調,0,0
屏東縣,爐火烹調,0,1
花蓮縣,遺留火種,0,0
宜蘭縣,施工不慎,0,0
臺中市,電氣因素,0,2
高雄市,玩火,0,0
屏東縣,施工不慎,0,0
南投縣,交通事故,0,0
臺中市,自殺,0,0
屏東縣,遺留火種,0,0
高雄市,機械設備,0,0
南投縣,遺留火種,0,0
新竹縣,爐火烹調,0,0
南投縣,電氣因素,0,0
花蓮縣,爐火烹調,0,0
新北市,施工不慎,0,1
臺南市,機械設備,0,0
宜蘭縣,爐火烹調,0,0
彰化縣,縱火,0,0
基隆市,其他,0,0
新北市,縱火,0,0
苗栗縣,菸蒂,0,0
苗栗縣,遺留火種,0,0
新竹縣,自殺,0,1
臺南市,其他,1,0
新竹縣,電氣因素,0,0
金門縣,其他,0,0
新北市,敬神掃墓祭祖,0,0
臺中市,敬神掃墓祭祖,0,0
苗栗縣,縱火,0,0
臺東縣,爐火烹調,0,0
苗栗縣,施工不慎,0,0
苗栗縣,敬神掃墓祭祖,0,0
新北市,菸蒂,0,0
新北市,玩火,0,0
彰化縣,爐火烹調,0,0
臺中市,玩火,0,0
雲林縣,其他,0,1
高雄市,施工不慎,0,0
桃園市,縱火,2,0
臺東縣,遺留火種,0,0
嘉義縣,菸蒂,0,0
臺東縣,縱火,0,0
基隆市,電氣因素,0,0
臺北市,玩火,0,0
新竹縣,其他,0,0
臺南市,施工不慎,0,0
臺東縣,施工不慎,0,0
嘉義市,遺留火種,0,0
桃園市,縱火,0,0
連江縣,菸蒂,0,0
苗栗縣,爐火烹調,0,0
屏東縣,敬神掃墓祭祖,0,0
南投縣,敬神掃墓祭祖,0,1
桃園市,玩火,0,0
澎湖縣,其他,0,0
花蓮縣,電氣因素,0,3
彰化縣,遺留火種,0,0
臺南市,交通事故,0,0
彰化縣,施工不慎,0,0
嘉義市,菸蒂,0,0
新北市,施工不慎,0,0
宜蘭縣,爐火烹調,0,2
澎湖縣,電氣因素,0,1
臺中市,交通事故,0,0
彰化縣,電氣因素,0,3
臺東縣,電氣因素,0,0
彰化縣,自殺,1,0
嘉義縣,敬神掃墓祭祖,0,0
宜蘭縣,電氣因素,0,1
臺北市,交通事故,0,0
苗栗縣,交通事故,0,0
高雄市,交通事故,0,0
屏東縣,其他,1,0
彰化縣,燃放爆竹,0,0
宜蘭縣,爐火烹調,0,1
屏東縣,縱火,0,2
南投縣,化學物品,0,0
嘉義市,瓦斯漏氣或爆炸,0,2
臺南市,菸蒂,0,0
花蓮縣,縱火,0,1
臺中港,敬神掃墓祭祖,0,0
臺南市,縱火,0,0
金門縣,爐火烹調,0,0
新竹縣,遺留火種,0,0
新北市,燈燭,0,0
高雄市,菸蒂,0,1
基隆市,菸蒂,0,0
彰化縣,其他,0,2
高雄市,燃放爆竹,0,0
新竹市,電氣因素,0,0
高雄市,敬神掃墓祭祖,0,0
臺中港,菸蒂,0,0
基隆港,施工不慎,0,0
臺中港,遺留火種,0,0
新北市,瓦斯漏氣或爆炸,0,0
宜蘭縣,玩火,1,0
嘉義市,縱火,0,0
高雄市,菸蒂,0,2
新竹縣,施工不慎,0,0
苗栗縣,電氣因素,0,0
新竹縣,瓦斯漏氣或爆炸,0,2
花蓮縣,自殺,0,1
桃園市,電氣因素,0,3
臺東縣,燃放爆竹,0,0
花蓮縣,菸蒂,0,0
臺中港,其他,0,1
臺中市,烤火,0,0
臺南市,敬神掃墓祭祖,0,0
臺南市,電氣因素,3,0
桃園市,瓦斯漏氣或爆炸,0,0
彰化縣,交通事故,0,0
臺南市,瓦斯漏氣或爆炸,0,1
宜蘭縣,燃放爆竹,0,0
宜蘭縣,機械設備,0,0
臺中市,菸蒂,0,1
宜蘭縣,其他,0,0
新北市,瓦斯漏氣或爆炸,0,1
彰化縣,敬神掃墓祭祖,0,0
連江縣,原因不明,0,0
臺南市,縱火,0,1
高雄市,機械設備,1,0
高雄市,縱火,0,0
南投縣,易燃品自燃,0,0
桃園市,爐火烹調,0,1
南投縣,敬神掃墓祭祖,0,0
嘉義市,爐火烹調,0,0
臺中港,其他,0,0
臺中市,其他,0,1
新北市,燃放爆竹,0,0
臺南市,燃放爆竹,0,0
高雄市,自殺,1,0
臺中市,敬神掃墓祭祖,0,1
南投縣,燃放爆竹,0,0
新竹市,菸蒂,0,0
桃園市,燃放爆竹,0,0
嘉義市,敬神掃墓祭祖,0,0
苗栗縣,燃放爆竹,0,0
花蓮縣,敬神掃墓祭祖,0,0
彰化縣,玩火,0,0
臺中市,自殺,1,0
桃園市,電氣因素,3,1
新竹縣,燃放爆竹,0,0
雲林縣,縱火,1,1
嘉義縣,燃放爆竹,0,0
雲林縣,燃放爆竹,0,0
臺中市,縱火,0,0
桃園市,遺留火種,0,1
澎湖縣,燃放爆竹,0,0
新竹市,化學物品,0,0
金門縣,燃放爆竹,0,0
新北市,瓦斯漏氣或爆炸,0,5
連江縣,其他,0,0
彰化縣,燈燭,0,0
臺東縣,玩火,0,0
嘉義縣,施工不慎,0,0
嘉義市,電氣因素,0,0
臺北市,自殺,1,0
彰化縣,菸蒂,0,2
桃園市,交通事故,0,0
苗栗縣,自殺,1,0
基隆市,自殺,0,0
新竹縣,玩火,0,0
臺北市,機械設備,0,2
雲林縣,遺留火種,1,0
苗栗縣,機械設備,0,0
臺南市,瓦斯漏氣或爆炸,0,0
新竹市,機械設備,0,0
雲林縣,縱火,0,0
屏東縣,縱火,0,0
臺東縣,機械設備,0,0
宜蘭縣,縱火,0,0
臺中市,爐火烹調,0,2
桃園市,敬神掃墓祭祖,0,0
澎湖縣,電氣因素,0,0
臺北市,遺留火種,1,0
高雄市,烤火,0,0
澎湖縣,菸蒂,0,0
臺南市,電氣因素,1,0
臺中市,機械設備,0,0
南投縣,施工不慎,0,0
宜蘭縣,電氣因素,0,0
基隆市,遺留火種,0,0
臺南市,燈燭,0,0
澎湖縣,其他,0,1
桃園市,烤火,0,1
高雄港,施工不慎,0,0
南投縣,自殺,0,0
臺中市,其他,1,0
桃園市,化學物品,1,0
澎湖縣,敬神掃墓祭祖,0,0
新北市,烤火,0,0
臺北市,自殺,2,0
苗栗縣,瓦斯漏氣或爆炸,0,0
宜蘭縣,電氣因素,0,2
臺東縣,敬神掃墓祭祖,0,0
桃園市,機械設備,0,0
桃園市,電氣因素,0,9
臺中市,瓦斯漏氣或爆炸,0,1
臺北市,燈燭,0,0
高雄市,遺留火種,1,0
